name,count
Cao Cao,445
Guan Yu,348
Yuan Shao,186
Liu Bei,135
Yuan Shang,76
Yuan Tan,73
Zhang Liao,65
Sun Ce,64
Prime Minister,54
Shen Pei,45
Sun Qian,36
Zhang Fei,35
Guo Tu,33
Xiahou Dun,31
Yan Liang,29
Sun Quan,29
Xu Huang,28
Liu Biao,28
Xu You,28
Wen Chou,26
Xu Chu,22
Tian Feng,21
Zhang He,21
Yuan Xi,20
Ju Shou,16
Gao Gan,16
Xin Pi,16
Zhou Yu,15
Zhou Cang,14
Zhao Zilong,14
Guo Jia,14
Xun You,13
Cao Hong,12
Liao Hua,12
Hu Ban,12
Zhang Hong,12
Chen Zhen,11
Zhang Zhao,11
Li Dian,10
Chunyu Qiong,10
Xin Ping,10
Yu Jin,9
Yue Jing,9
Jian Yong,9
Lu Su,9
Gongsun Kang,8
Cheng Yu,7
Lady Gan,7
Wang Xiu,7
Xun Yu,6
Guan Ping,6
Lady Wu,5
Cao Pi,5
Lu Bu,4
Lu Qian,4
Mi Zhu,4
Mi Fang,4
Xu Gong,4
Xiahou Yuan,4
Chen Lin,4
Zhang Jue,3
Cao Ren,3
Gu Yong,3
Liu Ye,3
Cai Mao,3
Zhang Yan,3
Lady Mi,2
Hua Xin,2
Zhuge Jin,2
Jia Xu,2
Lady Zhen,2
Cui Yan,2
Emperor Xian,1
The Emperor,1
Guan Ning,1
Gongsun Zan,1
Yu Fan,1
Sun Kuang,1
Han Dang,1
Cheng Pu,1
Hua Tuo,1
Sun Jing,1
Huang Zu,1
Cai Yong,1
Dong Zhuo,1
Wei Zi,1
Man Chong,1
Gongsun Du,1
Gongsun Gong,1
