p1,p2,count
Liu Bei,Zhang Fei,15
Guan Yu,Zhang Fei,12
Guan Yu,Liu Bei,11
Liu Bei,Zhu Jun,11
Huangfu Song,Zhu Jun,7
Liu Bei,Lu Zhi,7
Zhang Ba,Zhang Lian,6
Liu Bei,Zhang Ba,6
Zhang Ba,Zhu Jun,5
Huangfu Song,Lu Zhi,4
Huangfu Song,Zhang Lian,4
Sun Jian,Zhu Jun,4
He Jin,Jian Shuo,4
Zhang Jue,Zhang Lian,3
Lu Zhi,Zhu Jun,3
Lu Zhi,Zhang Jue,3
Huangfu Song,Liu Bei,3
Huangfu Song,Zhang Ba,3
Cao Cao,Zhang Ba,3
Cao Cao,Zhang Lian,3
Cao Cao,Huangfu Song,3
Dong Zhuo,Zhang Jue,3
Dong Zhuo,Zhang Fei,3
Zhang Ba,Zhang Fei,3
Liu Bei,Sun Jian,3
Jian Shuo,Yuan Shao,3
Zhang Ba,Zhang Jue,2
He Jin,The Emperor,2
Gongsun Zan,Liu Bei,2
Liu Bei,Liu Yan,2
Liu Bei,Zhang Jue,2
Liu Bei,Zhang Lian,2
Zhang Lian,Zhu Jun,2
Dong Zhuo,Liu Bei,2
Guan Yu,Zhang Ba,2
Liu Bei,Liu Yu,2
Empress He,He Jin,2
He Jin,Liu Bian,2
He Jin,Yuan Shao,2
Cai Yong,Cao Jie,1
Cai Yong,The Emperor,1
Cao Jie,The Emperor,1
Cao Jie,Hou Lan,1
Cao Jie,Jian Shuo,1
Hou Lan,Jian Shuo,1
He Jin,Zhang Jue,1
The Emperor,Zhang Jue,1
He Jin,Huangfu Song,1
He Jin,Lu Zhi,1
He Jin,Zhu Jun,1
Liu Yan,Zhang Jue,1
Gongsun Zan,Lu Zhi,1
Gongsun Zan,Zheng Xuan,1
Liu Bei,Zheng Xuan,1
Lu Zhi,Zheng Xuan,1
Lu Zhi,Zhang Ba,1
Lu Zhi,Zhang Lian,1
Cao Cao,Cao Song,1
Cao Cao,Cao Teng,1
Cao Song,Cao Teng,1
Cao Song,Zhang Ba,1
Cao Song,Zhang Lian,1
Cao Teng,Zhang Ba,1
Cao Teng,Zhang Lian,1
Cao Cao,Qiao Xuan,1
Cao Cao,Xu Shao,1
Cao Cao,Jian Shuo,1
Dong Zhuo,Lu Zhi,1
Lu Zhi,Zhang Fei,1
Guan Yu,Zhang Jue,1
Dong Zhuo,Guan Yu,1
Cao Cao,Liu Bei,1
Cao Cao,Zhu Jun,1
Guan Yu,Zhu Jun,1
Zhang Fei,Zhu Jun,1
Dong Zhuo,Huangfu Song,1
Dong Zhuo,Zhang Lian,1
Huangfu Song,Zhang Jue,1
Cao Cao,Lu Zhi,1
The Emperor,Zhang Chun,1
Liu Bei,Zhang Chun,1
Liu Yu,Zhang Chun,1
Gongsun Zan,Liu Yu,1
Empress He,Liu Bian,1
Empress He,The Emperor,1
Cao Cao,He Jin,1
Yuan Shao,Yuan Wei,1
He Jin,He Yong,1
He Jin,Xun You,1
He Yong,Jian Shuo,1
He Yong,Liu Bian,1
He Yong,Xun You,1
He Yong,Yuan Shao,1
Jian Shuo,Liu Bian,1
Jian Shuo,Xun You,1
Liu Bian,Xun You,1
Liu Bian,Yuan Shao,1
Xun You,Yuan Shao,1
