p1,p2,count
Cao Cao,Liu Bei,80
Liu Bei,Lu Bu,64
Cao Cao,Lu Bu,60
Guo Si,Li Jue,49
Liu Bei,Zhang Fei,38
Guan Yu,Liu Bei,31
Chen Gong,Lu Bu,30
Cao Cao,Zhang Xiu,28
Cao Cao,Yuan Shao,24
Cao Cao,Dian Wei,24
Guan Yu,Zhang Fei,24
Lu Bu,Yuan Shu,22
Liu Bei,Yuan Shu,22
Cao Cao,Xun Yu,21
Cao Cao,Xiahou Dun,21
Gao Shun,Lu Bu,20
Lu Bu,Zhang Fei,19
Cao Cao,Dong Cheng,18
Liu Bei,Yuan Shao,18
Cao Cao,Liu Biao,18
Lu Bu,Zhang Liao,17
Cao Cao,Yu Jin,16
Sun Ce,Taishi Ci,16
Liu Biao,Zhang Xiu,16
Chen Deng,Lu Bu,16
Liu Bei,Mi Zhu,15
Cao Cao,Yuan Shu,15
Liu Bei,Sun Qian,15
Cao Cao,Chen Gong,14
Liu Bei,Tao Qian,14
Cao Cao,Zhang Fei,14
Cao Cao,Xu Chu,14
Han Xian,Yang Feng,14
Chen Deng,Liu Bei,12
Gao Shun,Zhang Liao,12
Cao Cao,Prime Minister,12
Sun Ce,Yuan Shu,12
Cao Cao,Jia Xu,12
Jia Xu,Zhang Xiu,12
Cao Cao,Mi Zhu,11
Cao Cao,Kong Rong,11
Cao Cao,Zhang Liao,11
Xiahou Dun,Yue Jing,11
Cao Cao,Gao Shun,11
Li Dian,Xiahou Dun,11
Li Dian,Yue Jing,11
Liu Bei,Prime Minister,11
Cao Cao,Chen Deng,11
Cao Cao,Li Dian,10
Xiahou Dun,Xiahou Yuan,10
Guan Yu,Lu Bu,10
Ji Ling,Liu Bei,10
Jia Xu,Li Jue,9
Xiahou Dun,Yu Jin,9
Cao Cao,Yue Jing,9
Gao Shun,Liu Bei,9
Liu Yao,Sun Ce,9
Cao Cao,Sun Ce,9
Chen Deng,Chen Gui,9
Li Jue,Zhang Ji,8
Lu Qian,Yu Jin,8
Cao Cao,Tao Qian,8
Kong Rong,Liu Bei,8
Lu Bu,Yuan Shao,8
Cao Cao,Cao Ren,8
Lu Bu,Xiahou Dun,8
Li Dian,Lu Qian,8
Li Dian,Yu Jin,8
Cao Cao,Xiahou Yuan,8
Li Dian,Xiahou Yuan,8
Li Dian,Xu Chu,8
Xiahou Dun,Xu Chu,8
Chen Gong,Liu Bei,8
Cao Cao,Li Jue,8
Dong Cheng,Yang Feng,8
Liu Bei,Zhang Liao,8
Chen Deng,Chen Gong,8
Cao Cao,Guan Yu,8
Fan Chou,Li Jue,7
Fan Chou,Zhang Ji,7
Han Sui,Ma Teng,7
Cao Cao,Cheng Yu,7
Cheng Yu,Guo Jia,7
Cheng Yu,Xun Yu,7
Cao Cao,Guo Jia,7
Cao Cao,Lu Qian,7
Dian Wei,Xiahou Dun,7
Mi Zhu,Tao Qian,7
Hou Cheng,Lu Bu,7
Lu Bu,Zang Ba,7
Zang Ba,Zhang Liao,7
Cao Cao,Cao Hong,7
Dian Wei,Li Dian,7
Yu Jin,Yue Jing,7
Mi Zhu,Sun Qian,7
Xu Chu,Yue Jing,7
Cao Cao,Guo Si,7
Li Jue,Yang Feng,7
Cao Cao,Yang Feng,7
Cao Cao,The Emperor,7
Cao Cao,Xu Huang,7
Chen Gui,Lu Bu,7
Cao Cao,Sun Qian,7
Guan Yu,Zhang Liao,7
Guo Si,Zhang Ji,6
Xun You,Xun Yu,6
Chen Deng,Mi Zhu,6
Guo Jia,Liu Bei,6
Cao Ren,Lu Bu,6
Lu Bu,Xun Yu,6
Xiahou Yuan,Yue Jing,6
Dian Wei,Yue Jing,6
Lu Qian,Xiahou Dun,6
Xu Chu,Yu Jin,6
Li Jue,The Emperor,6
Guo Si,Yang Feng,6
Man Chong,Xu Huang,6
Ji Ling,Yuan Shu,6
Ji Ling,Lu Bu,6
Liu Biao,Yuan Shao,6
Liu Bei,Ma Teng,6
Dong Cheng,Liu Bei,6
Cao Cao,Liu Dai,5
Xun Yu,Yuan Shao,5
Guo Jia,Xun Yu,5
Cao Cao,Liu Ye,5
Cheng Yu,Xiahou Dun,5
Cheng Yu,Yu Jin,5
Kong Rong,Mi Zhu,5
Kong Rong,Taishi Ci,5
Gongsun Zan,Liu Bei,5
Yuan Shao,Yuan Shu,5
Lu Bu,Zhang Miao,5
Cao Ren,Cheng Yu,5
Cao Ren,Xun Yu,5
Lu Bu,Yue Jing,5
Yue Jing,Zhang Liao,5
Gao Shun,Hou Cheng,5
Cao Cao,Hou Cheng,5
Lu Qian,Yue Jing,5
Dian Wei,Lu Bu,5
Dian Wei,Xiahou Yuan,5
Cao Ren,Xiahou Dun,5
Lu Qian,Xu Chu,5
Dian Wei,Xu Chu,5
Chen Gong,Gao Shun,5
Chen Gong,Yuan Shu,5
Dong Cheng,Guo Si,5
Dong Cheng,Li Jue,5
Xu Chu,Xu Huang,5
