name,count
Cao Cao,468
Liu Bei,445
Zhuge Liang,304
Zhou Yu,259
Zhao Zilong,127
Lu Su,121
Sun Quan,103
Guan Yu,83
Zhang Fei,78
Huang Gai,65
Liu Biao,62
Cai Mao,61
Gan Ning,57
Xu Shu,54
Cao Ren,45
Jiang Gan,43
Liu Qi,37
Kan Ze,36
Pang Tong,30
Xiahou Dun,30
Li Dian,28
Prime Minister,26
Zhang Zhao,24
Huang Zu,24
Wen Ping,20
Yu Jin,19
Mi Zhu,16
Yuan Shao,16
Cheng Pu,15
Zhang Liao,15
Zhuge Jin,14
Xu Chu,14
Kuai Yue,13
Han Dang,13
Jian Yong,12
Lu Meng,12
Sun Qian,11
Cheng Yu,11
Mi Fang,11
Cao Hong,11
Kong Rong,10
Xun You,9
Liu Feng,9
Xu Sheng,9
Ding Feng,8
Ling Tong,8
Zhang He,8
Lady Gan,7
Sun Ce,7
Mao Jie,7
Wei Yan,7
Lady Mi,7
Zhou Tai,7
Guo Jia,6
Lu Xun,6
Taishi Ci,6
Xu Huang,6
Liu Shan,5
Sima Hui,5
Xun Yu,5
Mi Heng,5
Gu Yong,4
Lu Ji,4
Ling Cao,4
Lady Xu,4
Dong Xi,4
Wang Can,4
Zhang Yi,4
Jiang Qin,4
Liu Fu,4
Cao Zhi,3
Liu Zhang,3
Yan Jun,3
Pan Zhang,3
Lady Wu,3
Sun Yi,3
Han Hao,3
Xiahou Yuan,3
Lu Bu,3
Liu Ye,3
Yue Jing,3
Yu Fan,3
Bu Zhi,3
Xue Zong,3
Yuan Shu,3
Ma Teng,3
Han Sui,3
Zhang Lu,2
Dong Zhuo,2
Zhang Hong,2
Zhang Wen,2
Luo Tong,2
Sima Yi,2
Guan Ping,2
Fu Xuan,2
Cai Yong,2
Sun Jian,2
Yan Liang,2
Wen Chou,2
Zang Ba,2
Cao Pi,1
Kuai Liang,1
Zhuge Xuan,1
Cheng Bing,1
Zhu Huan,1
Wu Can,1
Wu Jing,1
Sun Kuang,1
Cui Yan,1
Sima Fang,1
Sima Lang,1
Han Xuan,1
Zhu Zhi,1
Lu Qian,1
Li Tong,1
Chen Wu,1
Zhou Cang,1
