p1,p2,count
Liu Bei,Zhuge Liang,72
Cao Cao,Ma Chao,60
Cao Cao,Sun Quan,50
Cao Cao,Liu Bei,45
Liu Bei,Sun Quan,41
Huang Zhong,Wei Yan,36
Liu Bei,Zhao Zilong,34
Huang Zhong,Liu Bei,33
Lu Meng,Sun Quan,31
Zhao Zilong,Zhuge Liang,30
Cao Cao,Pang De,29
Liu Bei,Zhou Yu,28
Lu Su,Zhou Yu,28
Zhang Fei,Zhuge Liang,28
Zhang Fei,Zhao Zilong,28
Liu Bei,Wei Yan,28
Guan Yu,Zhuge Liang,27
Liu Bei,Zhang Fei,27
Cao Cao,Xu Huang,26
Zhou Yu,Zhuge Liang,25
Guan Yu,Liu Bei,25
Liu Bei,Liu Zhang,25
Lu Su,Zhuge Liang,24
Cao Cao,Zhuge Liang,23
Guan Yu,Huang Zhong,23
Yan Yan,Zhang Fei,23
Liu Bei,Lu Su,22
Cao Cao,Xu Chu,22
Ma Chao,Pang De,22
Han Sui,Ma Chao,22
Cao Cao,Guan Yu,21
Huang Zhong,Zhao Zilong,21
Wei Yan,Zhang Fei,21
Han Dang,Zhou Tai,20
Cao Cao,Xiahou Yuan,20
Cao Cao,Zhang Lu,20
Lu Su,Sun Quan,19
Ma Chao,Ma Dai,19
Guan Ping,Guan Yu,19
Guan Yu,Lu Meng,19
Guan Yu,Pang De,19
Guan Xing,Zhang Bao,19
Ding Feng,Xu Sheng,18
Ma Chao,Zhang Fei,18
Zhang Fei,Zhang He,18
Liu Feng,Meng Da,18
Sun Quan,Zhou Yu,17
Liu Bei,Pang Tong,17
Cao Cao,Han Sui,17
Xiahou Yuan,Zhang He,17
Guan Yu,Sun Quan,17
Guan Yu,Zhang Fei,16
Cao Cao,Yang Xiu,16
Cao Cao,Cao Ren,15
Liu Bei,Liu Feng,15
Ma Dai,Pang De,15
Cao Cao,Zhang He,15
Liu Bei,Ma Chao,15
Huang Zhong,Xiahou Yuan,15
Cheng Pu,Zhou Yu,14
Gan Ning,Ling Tong,14
Cao Cao,Zhao Zilong,14
Gan Ning,Sun Quan,14
Gan Ning,Lu Meng,13
Huang Zhong,Zhang Fei,13
Sun Quan,Zhou Tai,13
Huang Zhong,Zhang He,13
Pang De,Yu Jin,13
Liu Bei,Sun Qian,12
Pang Tong,Zhuge Liang,12
Ma Chao,Zhuge Liang,12
Cao Cao,Cao Hong,12
Cao Hong,Ma Chao,12
Ma Chao,Xiahou Yuan,12
Liu Zhang,Zhang Lu,12
Cao Cao,Lu Meng,12
Guan Ping,Liao Hua,12
Cao Ren,Zhou Yu,11
Cao Ren,Guan Yu,11
Guan Yu,Zhao Zilong,11
Liu Bei,Zhang Zhao,11
Cao Cao,Zhang Song,11
Liu Bei,Zhang Lu,11
Liu Bei,Meng Da,11
Pang Tong,Wei Yan,11
Guan Yu,Liao Hua,11
Cao Cao,Prime Minister,10
Huang Zhong,Zhuge Liang,10
Ling Tong,Sun Quan,10
Sun Quan,Zhang Liao,10
Sun Quan,Zhuge Liang,10
Cao Cao,Ma Teng,10
Ma Chao,Xu Chu,10
Cao Cao,Xiahou Dun,10
Cao Cao,Cao Zhi,10
Cao Pi,Cao Zhi,10
Cao Hong,Zhang He,10
Guan Yu,Yu Jin,10
Cao Hong,Cao Ren,9
Ling Tong,Lu Meng,9
Zhao Fan,Zhao Zilong,9
Xu Chu,Xu Huang,9
Lu Meng,Lu Su,9
Ma Chao,Zhang Lu,9
Ma Chao,Yang Fu,9
Xu Huang,Zhang He,9
Cao Cao,Cao Pi,9
Cheng Pu,Sun Quan,8
Cao Cao,Zhang Liao,8
Lady Sun,Liu Bei,8
Guan Ping,Liu Bei,8
Ma Chao,Yang Qiu,8
Liu Zhang,Ma Chao,8
Fa Zheng,Liu Bei,8
Huang Zhong,Pang Tong,8
Fa Zheng,Zhuge Liang,8
Liu Bei,Zhang Ren,8
Guan Yu,Ma Chao,8
Ma Chao,Wei Yan,8
Ma Chao,Zhao Zilong,8
Guan Yu,Lu Su,8
Guan Ping,Pang De,8
Guan Yu,Xu Huang,8
Feng Xi,Zhang Nan,8
Ding Feng,Zhou Yu,7
Xu Sheng,Zhou Yu,7
Jiang Qin,Zhou Tai,7
Cao Cao,Zhang Fei,7
Han Xuan,Huang Zhong,7
Guan Yu,Wei Yan,7
