p1,p2,count
Deng Ai,Jiang Wei,47
Deng Ai,Zhong Hui,28
Jiang Wei,Xiahou Ba,23
Jiang Wei,Zhong Hui,22
Cao Shuang,Sima Yi,17
Wei Yan,Yang Yi,16
Jiang Wei,Zhang Yi,15
Jiang Wei,Sima Zhao,14
Sima Zhao,Zhong Hui,14
Jiang Wei,Liao Hua,12
Deng Ai,Sima Zhao,12
Jia Chong,Sima Zhao,12
Deng Ai,Wei Guan,12
Liao Hua,Zhang Yi,10
Sima Zhao,Zhuge Dan,10
Chen Tai,Jiang Wei,9
Deng Ai,Deng Zhong,9
Huang Hao,Jiang Wei,9
Prime Minister,Yang Yi,8
Prime Minister,Wei Yan,8
Ma Dai,Wei Yan,8
Jiang Wei,Zhuge Liang,8
Chen Tai,Deng Ai,8
Jiang Wei,Wang Guan,8
Sima Shi,Sima Zhao,7
Chen Tai,Guo Huai,7
Xiahou Ba,Zhang Yi,7
Deng Ai,Sima Wang,7
Prime Minister,Zhuge Liang,6
Jiang Wei,Prime Minister,6
Sima Shi,Sima Yi,6
Cao Shuang,Li Sheng,6
Deng Yang,He Yan,6
Guo Huai,Jiang Wei,6
Sun Jun,Zhuge Ke,6
Deng Ai,Zhuge Liang,6
Deng Ai,Zhuge Zhan,6
Jiang Wei,Wei Yan,5
Jiang Wei,Yang Yi,5
Sima Yi,Zhuge Liang,5
Gongsun Yuan,Sima Yi,5
Prime Minister,Sima Yi,5
Sima Yi,Sima Zhao,5
Huan Fan,Sima Yi,5
Guanqiu Jian,Wen Qin,5
Sima Shi,Wen Qin,5
Wen Qin,Wen Yang,5
Jiang Wei,Wang Jing,5
Deng Ai,Xiahou Ba,5
Deng Ai,Zhang Yi,5
Jiang Wei,Sima Wang,5
Sima Zhao,Wang Jing,5
Jia Chong,Pei Xiu,5
Lu Kang,Yang Hu,5
Jiang Wan,Prime Minister,4
Jiang Wan,Yang Yi,4
Ma Dai,Yang Yi,4
Sima Yi,Xiahou Ba,4
Cao Fang,Cao Shuang,4
Bi Gui,Deng Yang,4
Bi Gui,He Yan,4
Bi Gui,Li Sheng,4
Cao Shuang,Huan Fan,4
Deng Yang,Li Sheng,4
He Yan,Li Sheng,4
Li Sheng,Sima Yi,4
Jiang Ji,Sima Yi,4
Guo Huai,Xiahou Ba,4
Chen Tai,Xiahou Ba,4
Jiang Wei,Sima Shi,4
Guanqiu Jian,Sima Zhao,4
Guanqiu Jian,Wang Chang,4
Sun Jun,Teng Yin,4
Teng Yin,Zhuge Ke,4
Liao Hua,Xiahou Ba,4
Chen Tai,Sima Zhao,4
Cao Fang,Sima Shi,4
Wen Qin,Zhuge Dan,4
Cao Mao,Sima Zhao,4
Jia Chong,Zhuge Dan,4
Fu Qian,Jiang Wei,4
Sun Chen,Sun Xiu,4
Prime Minister,Sun Hao,4
Sun Chen,Zhang Bu,4
Deng Ai,Huang Hao,4
Cheng Ji,Jia Chong,4
Cheng Ji,Sima Zhao,4
Wei Guan,Zhong Hui,4
Deng Ai,Qian Hong,4
Jiang Wei,Zhuge Xu,4
Zhuge Shang,Zhuge Zhan,4
Yang Yi,Zhuge Liang,3
Dong Yun,Wei Yan,3
Jiang Wei,Ma Dai,3
Fei Yi,Prime Minister,3
Prime Minister,Zong Yu,3
Cao Cao,Cao Pi,3
Gongsun Yuan,Xiahou Ba,3
Cao Rui,Sima Yi,3
Bi Gui,Cao Shuang,3
Cao Shuang,Deng Yang,3
Cao Shuang,He Yan,3
Cao Shuang,Jiang Ji,3
Chen Tai,Sima Yi,3
Chen Tai,Xu Yun,3
Sima Yi,Xu Yun,3
Jiang Wei,Sima Yi,3
Prime Minister,Sima Shi,3
Sun Quan,Zhuge Ke,3
Sima Zhao,Wang Chang,3
Zhang Te,Zhuge Ke,3
Prime Minister,Sun Jun,3
Prime Minister,Sima Zhao,3
Cao Shuang,Wen Qin,3
Wang Ji,Zhuge Dan,3
Sima Zhao,Wang Su,3
Cao Mao,Wang Jing,3
Jia Chong,Zhuge Liang,3
Prime Minister,Sun Chen,3
Sun Chen,Sun Liang,3
Wen Qin,Zhu Yi,3
