p1,p2,count
Liu Bei,Zhuge Liang,60
Cao Cao,Zhuge Liang,44
Cao Cao,Liu Bei,40
Zhou Yu,Zhuge Liang,38
Lu Su,Zhuge Liang,37
Cao Cao,Zhou Yu,31
Lu Su,Zhou Yu,27
Liu Bei,Liu Biao,26
Guan Yu,Liu Bei,23
Liu Bei,Zhao Zilong,23
Guan Yu,Zhang Fei,22
Cao Cao,Lu Su,22
Guan Yu,Zhuge Liang,21
Jiang Gan,Zhou Yu,20
Cao Cao,Sun Quan,18
Liu Bei,Zhang Fei,17
Lu Su,Sun Quan,16
Liu Bei,Liu Qi,15
Cao Cao,Huang Gai,15
Sun Quan,Zhuge Liang,14
Liu Bei,Zhou Yu,14
Zhang Fei,Zhao Zilong,13
Cai Mao,Liu Bei,13
Liu Bei,Xu Shu,13
Cao Cao,Guan Yu,13
Cao Cao,Liu Biao,12
Guan Yu,Zhao Zilong,12
Sun Quan,Zhou Yu,12
Cao Cao,Zhang Fei,12
Zhang Fei,Zhuge Liang,11
Cao Cao,Yuan Shao,11
Liu Bei,Lu Su,11
Cao Ren,Liu Bei,10
Cao Cao,Xu Shu,10
Cao Cao,Zhang Liao,9
Huang Gai,Kan Ze,9
Liu Bei,Sun Quan,8
Xu Shu,Zhuge Liang,8
Gan Ning,Zhou Yu,8
Li Dian,Yu Jin,8
Cai Mao,Cao Cao,8
Cao Cao,Jiang Gan,8
Cao Cao,Kan Ze,8
Cao Cao,Cao Ren,7
Cao Ren,Li Dian,7
Gan Ning,Huang Zu,7
Gan Ning,Sun Quan,7
Gan Ning,Lu Meng,7
Cao Cao,Gan Ning,7
Liu Qi,Zhuge Liang,7
Zhao Zilong,Zhuge Liang,7
Cao Cao,Zhao Zilong,7
Gan Ning,Kan Ze,7
Pang Tong,Zhou Yu,7
Cai Mao,Zhao Zilong,6
Cao Cao,Prime Minister,6
Ding Feng,Xu Sheng,6
Sun Quan,Zhang Zhao,6
Huang Zu,Sun Quan,6
Li Dian,Xiahou Dun,6
Cao Hong,Cao Ren,6
Xu Chu,Zhang Liao,6
Cheng Pu,Zhou Yu,6
Huang Gai,Zhou Yu,6
Liu Bei,Sun Qian,5
Cao Cao,Li Dian,5
Cao Ren,Zhao Zilong,5
Liu Biao,Zhuge Liang,5
Cao Cao,Zhang Zhao,5
Zhang Zhao,Zhou Yu,5
Liu Bei,Xiahou Dun,5
Xiahou Dun,Zhuge Liang,5
Liu Bei,Mi Zhu,5
Cao Cao,Yu Jin,5
Cao Cao,Xu Chu,5
Cao Cao,Liu Qi,5
Cheng Pu,Lu Su,5
Han Dang,Zhou Tai,5
Han Dang,Zhou Yu,5
Mao Jie,Yu Jin,5
Lu Su,Pang Tong,5
Cao Cao,Pang Tong,5
Liu Biao,Sun Quan,4
Wen Ping,Zhao Zilong,4
Jian Yong,Zhao Zilong,4
Cai Mao,Liu Biao,4
Liu Feng,Zhang Fei,4
Cheng Yu,Xu Shu,4
Zhuge Jin,Zhuge Liang,4
Gan Ning,Ling Tong,4
Sun Ce,Zhou Yu,4
