p1,p2,count
Sima Yi,Zhuge Liang,70
Wei Yan,Zhuge Liang,40
Meng Huo,Zhuge Liang,40
Guan Xing,Zhang Bao,35
Jiang Wei,Zhuge Liang,33
Cao Zhen,Sima Yi,32
Wei Yan,Zhao Zilong,27
Wang Ping,Wei Yan,26
Ma Dai,Zhuge Liang,23
Guan Xing,Zhuge Liang,20
Jiang Wei,Wei Yan,20
Cao Rui,Sima Yi,19
Sima Yi,Zhang He,18
Wang Ping,Zhang Yi,18
Wang Ping,Zhuge Liang,18
Cao Zhen,Zhuge Liang,18
Guo Huai,Sun Li,17
Zhao Zilong,Zhuge Liang,16
Cao Zhen,Guo Huai,16
Prime Minister,Zhuge Liang,15
Ma Dai,Wei Yan,15
Zhang Bao,Zhuge Liang,14
Meng Da,Sima Yi,14
Sima Yi,Wei Yan,14
Ma Su,Zhuge Liang,13
Deng Zhi,Zhao Zilong,13
Jiang Wei,Ma Dai,13
Guo Huai,Sima Yi,13
Wang Ping,Zhao Zilong,12
Gao Ding,Zhuge Liang,12
Zhang He,Zhuge Liang,12
Ma Dai,Zhang Yi,11
Hu Ban,Wu Yi,11
Lu Xun,Sun Quan,10
Ma Dai,Wang Ping,10
Fei Yi,Zhuge Liang,10
Jiang Wei,Wang Ping,10
Guo Huai,Zhuge Liang,10
Meng Da,Zhuge Liang,10
Wei Yan,Zhang He,10
Cao Xiu,Zhou Fang,10
Chen Shi,Wei Yan,10
Meng Huo,Wei Yan,9
Xiahou Mao,Zhuge Liang,9
Gao Xiang,Wei Yan,9
Guo Huai,Zhang He,9
Deng Zhi,Zhuge Liang,8
Sun Quan,Zhuge Liang,8
Cao Xiu,Sima Yi,8
Wei Yan,Zhang Yi,8
Zhang Yi,Zhao Zilong,8
Zhang Yi,Zhuge Liang,8
Ma Su,Wang Ping,8
Xiahou Mao,Zhao Zilong,8
Guan Xing,Jiang Wei,8
Guan Xing,Ma Dai,8
Li Yan,Zhuge Liang,8
Cao Zhen,Sun Li,8
Sima Yi,Sun Li,8
Yang Yi,Zhuge Liang,8
Sun Quan,Zhang Zhao,7
Cao Zhen,Zhang He,7
Ma Dai,Zhao Zilong,7
Prime Minister,Sima Yi,7
Guan Xing,Wei Yan,7
Jiang Wei,Zhang Yi,7
Sima Yi,Wang Ping,7
Cao Xiu,Jia Kui,7
Chen Shi,Zhuge Liang,7
Liao Hua,Zhang Yi,7
Meng Huo,Zhao Zilong,6
Prime Minister,Zhao Zilong,6
Fei Yi,Wei Yan,6
Lu Kai,Zhuge Liang,6
Ma Dai,Meng Huo,6
Ma Su,Prime Minister,6
Prime Minister,Wei Yan,6
Cao Zhen,Wang Lang,6
Fei Yi,Prime Minister,6
Deng Zhi,Xiahou Mao,6
Ma Dai,Zhang Bao,6
Sun Li,Zhuge Liang,6
Wang Ping,Zhang He,6
Gao Xiang,Wang Ping,6
Cao Zhen,Wang Shuang,6
Wang Shuang,Zhuge Liang,6
Hao Zhao,Zhuge Liang,6
Liao Hua,Wang Ping,6
Liao Hua,Zhuge Liang,6
Prime Minister,Yang Yi,6
Sima Yi,Zhang Yi,6
Jiang Wei,Liao Hua,6
Guan Xing,Zhang He,6
Lu Xun,Zhuge Liang,5
Sima Yi,Xu Huang,5
