name,count
Zhuge Liang,727
Sima Yi,337
Wei Yan,189
Meng Huo,142
Zhao Zilong,126
Cao Zhen,120
Jiang Wei,117
Prime Minister,102
Wang Ping,90
Zhang He,83
Ma Dai,78
Guan Xing,72
Guo Huai,71
Sun Quan,59
Cao Rui,58
Xiahou Mao,55
Ma Su,49
Cao Xiu,48
Deng Zhi,46
Zhang Bao,44
Meng Da,43
Lu Xun,39
Gao Ding,39
Zhang Yi,38
Fei Yi,35
Sun Li,32
Hao Zhao,29
Wang Shuang,29
Cao Pi,28
Yang Yi,28
Liao Hua,22
Xu Sheng,21
Li Yan,21
Zhou Fang,21
Wang Lang,19
Gao Xiang,19
Fei Yao,19
Chen Shi,16
Zhang Wen,15
Lu Kai,14
Jiang Wan,14
Sun Shao,13
Wu Yi,13
Jia Kui,13
Zhuge Jin,13
Hu Ban,13
Qin Lang,13
Liu Ye,12
Xu Huang,11
Zhang Hu,11
Xiahou Ba,11
Zhang Zhao,10
Sima Shi,9
Zhu Huan,9
The Emperor,8
Sima Zhao,8
Xin Pi,7
Ma Chao,6
Man Chong,6
Li Fu,6
Gu Yong,5
Hua Xin,5
Qiao Zhou,5
Du Qiong,5
Xiahou Wei,5
Xiahou Hui,5
Xiahou He,5
Qin Mi,4
Zhang Liao,4
Sun Ce,3
Ding Feng,3
Dong Jue,3
Fan Jian,3
Cao Cao,3
Zhong Yao,3
Chen Zhen,3
Xiahou Yuan,3
Dong Zhuo,3
Han Ji,3
Zhuge Ke,3
Liu Shao,3
Wen Ping,2
Wang Lian,2
Ma Liang,2
Yuan Shao,2
Lady Zhen,2
Chen Qun,2
Yang Fu,2
Li Jue,2
Guo Si,2
Li Hui,2
Liao Li,2
Cao Ren,1
Jia Xu,1
Xu Chu,1
Lu Qian,1
Jiang Ji,1
Guan Yu,1
Empress Zhen,1
Guo Youzhi,1
Dong Yun,1
Xiang Chong,1
Du Wei,1
Meng Guang,1
Lai Min,1
Yin Mo,1
Li Zhuan,1
Xi Zheng,1
Fei Shi,1
Xiahou Dun,1
Huang Zhong,1
Cheng Yu,1
Yuan Shu,1
Liu Biao,1
Lu Bu,1
Zhang Lu,1
Yue Jing,1
Sun Jian,1
Empress Wu,1
Sun Deng,1
Zhang Fei,1
Wang Su,1
Zhang Cheng,1
Lu Meng,1
Liu Bei,1
