p1,p2,count
Cao Cao,Yuan Shao,66
Cao Cao,Guan Yu,42
Cao Cao,Yuan Tan,31
Guan Yu,Liu Bei,29
Cao Cao,Yuan Shang,28
Cao Cao,Liu Bei,27
Cao Cao,Zhang Liao,23
Liu Bei,Yuan Shao,23
Guan Yu,Sun Qian,21
Yuan Shang,Yuan Tan,18
Guan Yu,Zhang Fei,16
Guan Yu,Zhang Liao,15
Cao Cao,Xu Huang,15
Cao Cao,Xu Chu,15
Guan Yu,Prime Minister,14
Cao Cao,Xu You,14
Shen Pei,Yuan Shang,13
Xu Huang,Zhang Liao,12
Liu Bei,Sun Qian,12
Guan Yu,Yuan Shao,11
Cao Cao,Shen Pei,11
Yuan Shang,Yuan Xi,11
Guan Yu,Xiahou Dun,10
Xu Chu,Xu Huang,10
Guan Yu,Yan Liang,10
Cao Cao,Liu Biao,10
Liu Bei,Zhao Zilong,10
Xu Chu,Zhang Liao,10
Cao Cao,Zhang He,10
Cao Cao,Yan Liang,9
Wen Chou,Yan Liang,9
Liu Bei,Zhang Fei,9
Guan Yu,Zhou Cang,9
Cao Cao,Guo Jia,9
Cao Cao,Cao Hong,9
Guo Tu,Yuan Tan,9
Cao Cao,Prime Minister,8
Tian Feng,Yuan Shao,8
Guan Yu,Wen Chou,8
Liu Bei,Liu Biao,8
Xu You,Yuan Shao,8
Cao Cao,Guo Tu,8
Cao Cao,Xiahou Dun,7
Cao Cao,Xun You,7
Cao Cao,Yu Jin,7
Cao Cao,Li Dian,7
Xu Chu,Yu Jin,7
Cao Cao,Sun Ce,7
Cao Cao,Yuan Xi,7
Liu Bei,Prime Minister,6
Cao Cao,Zhang Fei,6
Guo Tu,Shen Pei,6
Li Dian,Xu Chu,6
Xu Huang,Yu Jin,6
Jian Yong,Liu Bei,6
Guan Ping,Guan Yu,6
Guan Yu,Zhao Zilong,6
Shen Pei,Yuan Shao,6
Yuan Shao,Zhang He,6
Cao Cao,Gao Gan,6
Gao Gan,Yuan Xi,6
Li Dian,Yue Jing,6
Xin Ping,Yuan Tan,6
Liu Bei,Zhang Liao,5
Ju Shou,Yuan Shao,5
Liu Bei,Wen Chou,5
Cao Cao,Yue Jing,5
Yu Jin,Zhang Liao,5
