name,count
Dong Zhuo,236
Lu Bu,177
Yuan Shao,106
Cao Cao,100
Sun Jian,99
Wang Yun,89
Gongsun Zan,60
Li Ru,49
Li Su,41
Prime Minister,30
Liu Bei,27
Diao Chan,26
Hua Xiong,25
Liu Biao,23
He Jin,21
Yuan Shu,21
Li Jue,19
Chen Gong,19
Ding Yuan,18
Huang Zu,16
Cheng Pu,15
Guo Si,14
Huang Gai,13
Wen Chou,13
Cai Mao,13
The Emperor,12
Cai Yong,12
Guan Yu,12
Zhao Zilong,12
Niu Fu,10
Xiahou Dun,10
Han Fu,10
Sun Ce,10
Zhang Fei,9
Kuai Liang,9
Fan Chou,8
Bao Xin,8
Cao Hong,8
Han Dang,8
Qu Yi,8
Zhang Ji,7
Wang Kuang,7
Xu Rong,7
Lu Zhi,6
Wu Fu,6
Yan Liang,6
Empress He,5
Kuai Yue,5
Yuan Wei,4
Zhou Bi,4
Xiahou Yuan,4
Qiao Mao,4
Dong Min,3
Wu Qiong,3
Cao Ren,3
Hu Zhen,3
Tian Feng,3
Ma Midi,3
Yue Jing,2
Li Dian,2
Yuan Yi,2
Kong Rong,2
Zhang Yang,2
Xun Shuang,2
Liu Dai,2
Sun Jing,2
Chen Lin,1
Cao Jie,1
Hou Lan,1
Chunyu Qiong,1
Tao Qian,1
Xin Ping,1
Ju Shou,1
Xu You,1
Zhang Miao,1
Zhao Qi,1
Sun Quan,1
Sun Yi,1
Sun Kuang,1
Sun Lang,1
Huangfu Song,1
Jia Xu,1
